Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Alpha Response,-4.955298e-01,-2.019751e+00,0.000000e+00,0.000000e+00,0.000000e+00,48/95,22.38%,LGALS3BP;CSF1;RTP4;OAS1;IFI44L;UBE2L6;CXCL10;PSMB9;ISG20;LAMP3;CD74;PSME1;LPAR6;PROCR;CCRL2;B2M;IFI35;IRF7;ISG15;LAP3;RIPK2;SELL;TXNIP;IFIT3;CASP8;BST2;PSMA3;PSMB8;CMPK2;SP110;ADAR;HERC6;CNP;IRF9;TAP1;IFI44;IRF1;CASP1;GMPR;IFI27;PARP9;TMEM140;TRIM26;NCOA7;IFITM1;NMI;TRIM21;SAMD9L
prerank,Xenobiotic Metabolism,4.430826e-01,1.911664e+00,0.000000e+00,3.948090e-03,6.000000e-03,107/198,21.98%,LPIN2;SMOX;POR;GNMT;GCNT2;F11;CFB;TMEM176B;AOX1;IGFBP4;ITIH4;CYP2C18;GCLC;PLG;AQP9;IGF1;ITIH1;GART;TDO2;CYP2E1;MAOA;ALDH2;FETUB;CYP4F2;DHRS1;EPHX1;CYP27A1;RBP4;MCCC2;GCH1;FMO3;ATP2A2;HGFAC;TMBIM6;PC;LCAT;ANGPTL3;SLC22A1;TAT;AHCY;BPHL;SLC6A12;FAH;FBLN1;ETS2;TPST1;ADH5;ASL;DDC;MAN1A1;HNF4A;SHMT2;HPRT1;NMT1;ALAS1;APOE;BLVRB;ID2;PTGR1;SERPINE1;SAR1B;VNN1;TMEM97;ABCC2;XDH;TNFRSF1A;ACOX2;HSD11B1;CROT;CES1;PMM1;CYP1A2;CYB5A;CDA;ADH1C;ARG1;CD36;GCKR;CDO1;AKR1C2;CYP17A1;IDH1;CYP2J2;ESR1;PGRMC1;PTS;ECH1;DCXR;PDLIM5;PAPSS2;SERTAD1;CYP26A1;VTN;SERPINA6;CYP1A1;GABARAPL1;ABCC3;ALDH9A1;ETFDH;KYNU;ENTPD5;HES6;UGDH;PROS1;DHPS;NDRG2;G6PC
prerank,Epithelial Mesenchymal Transition,-4.162465e-01,-1.883752e+00,0.000000e+00,7.065577e-04,1.000000e-03,86/198,19.75%,MSX1;VIM;COL1A2;TAGLN;FLNA;LUM;DPYSL3;THBS2;SERPINH1;FAS;LAMA2;GEM;RGS4;TPM4;COL5A1;COL8A2;SGCB;COL1A1;COL3A1;CDH11;THY1;FSTL3;LOXL1;MMP2;GPX7;TPM2;GAS1;BGN;PRSS2;FAP;DCN;SGCD;FBLN2;LAMA3;COL6A2;CDH6;MMP3;PDGFRB;ITGAV;TPM1;MYL9;COL4A1;ENO2;ITGB5;MGP;SPARC;MAGEE1;CD59;PMP22;FMOD;EMP3;CXCL6;CXCL1;SLIT2;QSOX1;COL5A2;SERPINE2;EFEMP2;BDNF;FBLN5;LAMA1;COL4A2;TGFBI;VCAN;PMEPA1;VEGFC;GLIPR1;TIMP1;PPIB;SPP1;FGF2;CXCL12;APLP1;PLAUR;TNFRSF11B;COL12A1;ITGB1;WNT5A;LAMC1;GPC1;ELN;SLIT3;ITGA2;COL16A1;OXTR;TIMP3
prerank,Interferon Gamma Response,-4.207771e-01,-1.880724e+00,0.000000e+00,4.710385e-04,1.000000e-03,94/198,24.49%,LGALS3BP;UPP1;CCL5;STAT1;RTP4;FAS;HLA-G;IFI44L;IL18BP;IRF4;HLA-A;UBE2L6;PSMB2;CXCL10;SSPN;PSMB9;NOD1;ISG20;CD74;ZBP1;PSME1;CD86;CCL2;SAMHD1;CXCL9;B2M;IFI35;IRF7;RBCK1;HLA-DQA1;ISG15;LAP3;SELP;IDO1;RIPK2;BPGM;TAPBP;KLRK1;TXNIP;P2RY14;IFIT3;OAS2;BANK1;CASP8;TNFAIP2;BST2;CD69;CIITA;PSMA3;PFKP;GPR18;PSMB8;HLA-B;CMPK2;PTPN6;SRI;SP110;ADAR;HERC6;IRF9;IRF5;EIF4E3;CMKLR1;XAF1;TAP1;IFI44;IRF1;CASP1;MTHFD2;ICAM1;IFI27;METTL7B;ARL4A;SLAMF7;HLA-DMA;TRIM26;PML;ST8SIA4;SECTM1;MX2;MVP;HIF1A;IL2RB;NMI;PTGS2;TRIM21;SAMD9L;RAPGEF6;IFNAR2;CSF2RB;ITGB7;IL10RA;FPR1;RSAD2
prerank,Allograft Rejection,-4.064683e-01,-1.823994e+00,0.000000e+00,2.119673e-03,6.000000e-03,83/195,21.03%,CXCR3;CSF1;NOS2;CCL5;HLA-DOA;FLNA;CCR2;STAT1;IL2RG;FAS;HLA-G;RPS3A;RPL9;IRF4;HLA-A;CDKN2A;IL27RA;THY1;CD74;CD86;MAP4K1;CD2;HLA-DOB;CCL2;CD3E;CXCL9;HLA-DMB;CD28;LTB;B2M;CD96;LIF;MAP3K7;HLA-DRA;IRF7;CCL19;HLA-DQA1;APBB1;RIPK2;CD3D;RPS19;IL18RAP;TGFB2;LCK;CTSS;TAPBP;ZAP70;IL12RB1;PTPRC;TRAF2;CD1D;CD8A;CD3G;CD79A;ETS1;ABI1;LYN;PTPN6;PRF1;HLA-E;RPL39;HCLS1;TIMP1;CCND2;RPS9;FGR;TAP1;ITK;ACHE;TLR6;ICAM1;IL12A;CCR5;IL2RA;HLA-DMA;IL10;TLR1;ST8SIA4;BCAT1;SPI1;GLMN;PRKCB;HIF1A
prerank,Apical Junction,-3.955441e-01,-1.775695e+00,0.000000e+00,3.108854e-03,1.100000e-02,85/198,20.91%,PFN1;CLDN11;ACTG1;CD34;GNAI2;ACTB;PLCG1;LAYN;SRC;CDH11;ACTN4;THY1;TUBG1;MMP2;TMEM8B;CD86;CLDN4;RAC2;PARD6G;MDK;MPZL2;ADAM15;HRAS;CLDN8;LAMA3;CDH6;AKT3;GTF2F1;PECAM1;ITGB4;VCL;RRAS;NFASC;MYH9;TAOK2;CD99;CLDN7;CERCAM;MYL9;EPB41L2;JUP;CLDN18;CNN2;MYL12B;NLGN3;PTPRC;RSU1;MPZL1;SLIT2;ARPC2;PARVA;NEXN;AMIGO1;JAM3;MAPK13;VWF;CDH8;MYH10;TGFBI;VCAN;ARHGEF6;GRB7;COL9A1;GAMT;TRO;SYK;CLDN6;SDC3;PIK3R3;TNFRSF11B;ITGA3;ITGB1;ICAM1;VASP;NLGN2;MAP4K2;ITGA2;COL16A1;AMIGO2;WNK4;ICAM2;CTNNA1;COL17A1;SHC1;ITGA9
prerank,Angiogenesis,-5.145064e-01,-1.705914e+00,4.098361e-03,4.474866e-03,1.900000e-02,18/36,17.86%,MSX1;SLCO2A1;LUM;COL3A1;ITGAV;S100A4;STC1;JAG2;JAG1;CXCL6;COL5A2;VCAN;TIMP1;CCND2;SPP1;THBD;TNFRSF21;NRP1
prerank,Bile Acid Metabolism,4.121352e-01,1.612107e+00,9.191176e-03,3.750685e-02,1.050000e-01,51/112,20.98%,ABCA6;GNMT;TTR;AKR1D1;ACSL5;LONP2;ABCA4;ABCA1;FADS2;PIPOX;SLC23A2;NR1I2;AGXT;SLC29A1;AQP9;SLC27A5;DHCR24;CYP27A1;PRDX5;BBOX1;AR;CYP8B1;PAOX;GC;MLYCD;HSD17B11;NR3C2;ACSL1;HSD17B4;CYP46A1;SOD1;CROT;ALDH8A1;EPHX2;NR0B2;RXRA;IDI1;PEX16;HSD3B7;NEDD4;PEX26;IDH1;HAO1;ABCG4;FADS1;ABCA8;GNPAT;SERPINA6;PNPLA8;ALDH9A1;ABCA9
prerank,p53 Pathway,-3.535483e-01,-1.590149e+00,2.352941e-03,1.614989e-02,7.500000e-02,64/196,16.60%,CDKN2B;TRAF4;PCNA;RHBDF2;UPP1;RPL36;DGKA;LDHB;ST14;FAS;ANKRA2;ABHD4;ISCU;PHLDA3;S100A10;CDKN2A;FOXO3;TGFA;RRAD;PERP;IP6K2;PROCR;PTPN14;HRAS;CTSD;BTG2;KLF4;FDXR;RPS12;ITGB4;POLH;ZMAT3;BAK1;LIF;S100A4;PRMT2;RNF19B;CDH13;JAG2;TPRKB;APAF1;DEF6;RCHY1;TXNIP;DDB2;NDRG1;VWA5A;SPHK1;RPS27L;RB1;NUDT15;CCND2;TAX1BP3;PTPRE;IRAK1;RRP8;TAP1;BMP2;GPX2;MXD4;H2AJ;CCNG1;TP53;CASP1
prerank,Myc Targets V1,-3.442251e-01,-1.542945e+00,0.000000e+00,2.366968e-02,1.250000e-01,72/196,21.66%,DUT;PCNA;CCT7;HNRNPA1;SSBP1;TCP1;APEX1;RPS2;CCT3;NAP1L1;HNRNPC;RPS6;PSMB2;RPLP0;HNRNPA2B1;UBA2;PABPC1;PPIA;BUB3;PSMC4;SNRPD1;LSM7;PSMA4;TRIM28;SNRPA;TYMS;KPNA2;MAD2L1;CYC1;RPL14;XPO1;UBE2E1;HSP90AB1;HNRNPD;EIF4G2;PHB2;HDDC2;MRPL9;XRCC6;MRPS18B;PA2G4;UBE2L3;DEK;CDK4;PRDX4;EEF1B2;HNRNPA3;SNRPD2;VBP1;NHP2;RPS5;NOP56;RSL1D1;PCBP1;SET;SNRPB2;RPS3;RNPS1;EIF4E;C1QBP;MYC;ACP1;RPS10;NCBP2;HDAC2;FBL;SLC25A3;EIF4A1;PTGES3;TUFM;PSMA1;PGK1
