ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
55273_at	4.68e-12	3.87e-16	-11.1115491	24.70045	-1.71159063	55273_at
8835_at	4.34e-11	7.20e-15	-10.3185567	22.17598	-1.97640716	8835_at
4543_at	1.74e-10	4.31e-14	-9.8416008	20.61343	-1.40273058	4543_at
10426_at	9.21e-09	3.05e-12	-8.7292461	16.85533	-0.94395255	10426_at
25976_at	1.29e-08	5.33e-12	-8.5854312	16.35939	-2.15347566	25976_at
7763_at	1.45e-06	7.20e-10	-7.3295559	11.96281	-1.564851	7763_at
5166_at	9.74e-06	5.65e-09	-6.8029758	10.1025	-2.88406477	5166_at
10560_at	1.26e-05	8.36e-09	-6.7022268	9.74691	-1.54363331	10560_at
687_at	7.17e-05	5.55e-08	-6.2142983	8.03116	-1.19380707	687_at
6867_at	7.17e-05	5.94e-08	-6.1967243	7.96965	-0.9234715	6867_at
10458_at	1.18e-04	1.07e-07	-6.0433247	7.43391	-0.72676589	10458_at
1831_at	1.75e-04	1.74e-07	-5.9164798	6.99269	-1.74162438	1831_at
5519_at	2.51e-04	2.70e-07	-5.8012352	6.59342	-0.73331941	5519_at
80148_at	3.27e-04	3.79e-07	-5.712106	6.2858	-1.20156699	80148_at
29116_at	5.44e-04	6.76e-07	5.5591399	5.76052	0.96784454	29116_at
10157_at	6.33e-04	8.39e-07	-5.5014581	5.56339	-0.75023416	10157_at
5054_at	6.33e-04	8.91e-07	-5.4854847	5.5089	-0.97152753	5054_at
23767_at	7.17e-04	1.07e-06	5.4370408	5.34391	1.63058493	23767_at
10637_at	1.19e-03	1.87e-06	-5.287385	4.83691	-2.18225433	10637_at
55281_at	1.74e-03	2.89e-06	5.1696602	4.44118	1.04750302	55281_at
1647_at	2.51e-03	4.40e-06	-5.0546926	4.05759	-1.31694567	1647_at
11214_at	2.51e-03	4.58e-06	-5.0438841	4.02168	-0.61151812	11214_at
54463_at	2.65e-03	5.05e-06	-5.0170757	3.93274	-1.07757606	54463_at
9334_at	2.80e-03	5.56e-06	4.9906844	3.84535	1.17855531	9334_at
22936_at	3.19e-03	6.60e-06	-4.9435675	3.68974	-1.1614682	22936_at
25895_at	3.43e-03	7.38e-06	-4.9131238	3.5895	-1.20926625	25895_at
2983_at	3.82e-03	8.55e-06	4.8723791	3.4557	1.23601589	2983_at
79884_at	4.62e-03	1.07e-05	4.8096321	3.2505	0.47809702	79884_at
55729_at	4.99e-03	1.20e-05	4.7784686	3.14898	0.57493789	55729_at
1594_at	6.42e-03	1.60e-05	-4.6984391	2.88951	-2.28376881	1594_at
8743_at	7.31e-03	1.88e-05	4.6529481	2.74284	1.57282952	8743_at
23424_at	7.37e-03	1.95e-05	4.6416076	2.70637	0.68451372	23424_at
6809_at	7.98e-03	2.18e-05	4.6104433	2.60634	0.84355684	6809_at
32_at	8.31e-03	2.34e-05	-4.5908026	2.54346	-0.57208018	32_at
5208_at	9.41e-03	2.73e-05	-4.5473289	2.40468	-0.78214381	5208_at
11329_at	9.78e-03	2.94e-05	4.5258663	2.33639	0.70436324	11329_at
51365_at	9.78e-03	3.00e-05	4.5205044	2.31935	1.03445991	51365_at
7538_at	1.04e-02	3.26e-05	-4.4960939	2.24189	-0.8309818	7538_at
1849_at	1.38e-02	4.46e-05	-4.4064967	1.95925	-0.40210892	1849_at
2308_at	1.42e-02	4.69e-05	-4.392209	1.91443	-0.54221487	2308_at
2965_at	1.52e-02	5.15e-05	4.3649933	1.82924	0.52581262	2965_at
85458_at	1.88e-02	6.55e-05	-4.2954174	1.61262	-0.73891804	85458_at
3570_at	1.90e-02	6.77e-05	-4.2856466	1.58233	-0.66341491	3570_at
23220_at	1.93e-02	7.05e-05	4.2739719	1.54619	0.67397296	23220_at
3105_at	1.96e-02	7.30e-05	4.2635763	1.51405	1.17853432	3105_at
2354_at	2.03e-02	7.89e-05	-4.2409795	1.44433	-1.12107064	2354_at
10166_at	2.03e-02	7.90e-05	-4.2404858	1.44281	-0.66108818	10166_at
23228_at	2.11e-02	8.39e-05	4.2229923	1.38896	0.73228878	23228_at
27332_at	2.23e-02	9.05e-05	4.2006902	1.32047	0.53025609	27332_at
9099_at	2.39e-02	1.01e-04	-4.1690886	1.22375	-1.17057091	9099_at
1081_at	2.39e-02	1.03e-04	-4.1634541	1.20654	-0.85969666	1081_at
1843_at	2.39e-02	1.03e-04	-4.1623219	1.20309	-1.37935374	1843_at
5270_at	2.40e-02	1.06e-04	4.1554744	1.1822	1.52020228	5270_at
25940_at	2.54e-02	1.14e-04	4.1331792	1.1143	0.67896159	25940_at
10140_at	2.61e-02	1.19e-04	-4.1204315	1.07556	-0.81190205	10140_at
57798_at	2.68e-02	1.24e-04	4.1068924	1.03449	0.38648128	57798_at
8431_at	2.79e-02	1.32e-04	-4.0902519	0.98411	-0.71891346	8431_at
79675_at	2.81e-02	1.35e-04	4.0821683	0.95967	0.66019828	79675_at
55763_at	2.84e-02	1.39e-04	4.0745783	0.93675	0.61455573	55763_at
9601_at	2.84e-02	1.41e-04	4.0688572	0.91949	0.62820024	9601_at
28231_at	2.86e-02	1.46e-04	-4.0594593	0.89117	-1.72943934	28231_at
131408_at	2.86e-02	1.49e-04	-4.0537616	0.87401	-0.44909914	131408_at
871_at	2.86e-02	1.49e-04	4.0524277	0.87	0.75673242	871_at
5034_at	2.88e-02	1.52e-04	4.0461776	0.85119	0.63099426	5034_at
10421_at	2.88e-02	1.55e-04	4.0409648	0.83552	0.36795848	10421_at
1154_at	3.01e-02	1.65e-04	-4.0233343	0.78261	-0.93488004	1154_at
4236_at	3.12e-02	1.73e-04	4.0080752	0.73691	0.44594783	4236_at
3964_at	3.45e-02	1.94e-04	3.9732446	0.63297	0.31155691	3964_at
26064_at	3.47e-02	2.00e-04	3.9638446	0.605	0.54560499	26064_at
5144_at	3.47e-02	2.01e-04	-3.9631567	0.60295	-0.23707205	5144_at
4976_at	3.56e-02	2.09e-04	-3.9506844	0.5659	-0.39749259	4976_at
64061_at	3.68e-02	2.19e-04	-3.9367348	0.52454	-0.50283165	64061_at
55035_at	3.88e-02	2.34e-04	3.9166099	0.46502	0.49813153	55035_at
10486_at	3.88e-02	2.38e-04	3.9123276	0.45237	0.66681536	10486_at
51499_at	3.99e-02	2.48e-04	3.8994308	0.41434	0.41318798	51499_at
6733_at	4.00e-02	2.52e-04	3.8949624	0.40118	0.35473434	6733_at
8470_at	4.03e-02	2.57e-04	3.888156	0.38115	0.7117601	8470_at
4502_at	4.03e-02	2.62e-04	-3.8821327	0.36344	-0.78606618	4502_at
26019_at	4.03e-02	2.65e-04	3.8786469	0.3532	0.48483442	26019_at
26872_at	4.03e-02	2.69e-04	3.8750045	0.3425	0.77929411	26872_at
2339_at	4.03e-02	2.70e-04	3.873277	0.33743	0.53411882	2339_at
25816_at	4.03e-02	2.74e-04	3.8693302	0.32585	1.47892262	25816_at
8503_at	4.08e-02	2.85e-04	3.85664	0.28866	0.39055356	8503_at
6928_at	4.08e-02	2.87e-04	3.8552362	0.28455	0.54387774	6928_at
4982_at	4.08e-02	2.87e-04	3.8548287	0.28336	1.0387644	4982_at
23469_at	4.13e-02	2.96e-04	3.8457115	0.25669	0.26914076	23469_at
23627_at	4.13e-02	2.98e-04	-3.843275	0.24957	-0.27587995	23627_at
55109_at	4.16e-02	3.03e-04	3.838175	0.23468	0.41256977	55109_at
9235_at	4.32e-02	3.18e-04	3.8229423	0.19025	2.09388267	9235_at
8443_at	4.37e-02	3.26e-04	3.8158387	0.16957	0.36585562	8443_at
1471_at	4.64e-02	3.50e-04	3.7937033	0.10527	0.5401221	1471_at
79693_at	4.84e-02	3.70e-04	-3.7766056	0.05575	-0.42724245	79693_at
3949_at	4.84e-02	3.72e-04	-3.7744419	0.04949	-0.56602617	3949_at
3433_at	4.93e-02	3.87e-04	3.7624074	0.01473	0.65935077	3433_at
3300_at	4.93e-02	3.88e-04	3.7616758	0.01262	0.37683632	3300_at
54885_at	4.98e-02	3.96e-04	-3.7553737	-0.00556	-1.04940435	54885_at
1019_at	5.00e-02	4.02e-04	3.7509416	-0.01833	0.34265215	1019_at
23764_at	5.05e-02	4.10e-04	-3.7446551	-0.03643	-1.59368025	23764_at
3162_at	5.23e-02	4.33e-04	3.7275153	-0.08569	0.95191418	3162_at
9477_at	5.23e-02	4.38e-04	3.7242771	-0.09499	0.36018222	9477_at
9819_at	5.23e-02	4.40e-04	-3.7228012	-0.09922	-0.2825104	9819_at
79629_at	5.23e-02	4.42e-04	-3.721285	-0.10357	-0.54286043	79629_at
6897_at	5.43e-02	4.63e-04	3.706513	-0.14587	0.49379513	6897_at
8501_at	5.49e-02	4.73e-04	-3.700305	-0.16362	-0.52406543	8501_at
8405_at	5.53e-02	4.81e-04	3.6947138	-0.17959	0.33132282	8405_at
112399_at	5.62e-02	4.93e-04	-3.6871032	-0.2013	-0.66410779	112399_at
1555_at	5.62e-02	4.99e-04	-3.6834793	-0.21163	-0.90553698	1555_at
25841_at	5.62e-02	5.03e-04	-3.6810086	-0.21867	-0.46206991	25841_at
3574_at	5.72e-02	5.16e-04	3.6726451	-0.24248	0.46516935	3574_at
4758_at	5.72e-02	5.21e-04	3.6697704	-0.25065	0.65588	4758_at
57613_at	5.77e-02	5.38e-04	-3.6597491	-0.27912	-0.48315467	57613_at
5479_at	5.77e-02	5.45e-04	3.6555846	-0.29094	0.67236698	5479_at
7096_at	5.77e-02	5.46e-04	3.6553616	-0.29157	0.58754656	7096_at
3430_at	5.77e-02	5.50e-04	3.6530281	-0.29819	0.80460337	3430_at
11104_at	5.77e-02	5.53e-04	3.6507869	-0.30454	0.47452898	11104_at
7098_at	5.77e-02	5.62e-04	3.6459494	-0.31825	0.68310191	7098_at
6452_at	5.77e-02	5.68e-04	-3.6427013	-0.32745	-0.41155076	6452_at
1577_at	5.77e-02	5.78e-04	-3.6368992	-0.34386	-1.30142197	1577_at
79888_at	5.77e-02	5.86e-04	3.6325742	-0.35609	1.11673471	79888_at
63928_at	5.77e-02	5.88e-04	-3.6317187	-0.3585	-1.34682097	63928_at
9209_at	5.77e-02	5.88e-04	-3.6315807	-0.35889	-0.42482562	9209_at
9470_at	5.77e-02	5.88e-04	3.6315152	-0.35908	0.58051427	9470_at
51747_at	5.77e-02	5.89e-04	3.6310417	-0.36042	0.53799578	51747_at
54800_at	5.77e-02	5.93e-04	3.6292233	-0.36555	0.41078111	54800_at
4739_at	6.19e-02	6.41e-04	-3.6046197	-0.43489	-0.73296567	4739_at
5187_at	6.22e-02	6.49e-04	-3.60044	-0.44664	-0.50473162	5187_at
2633_at	6.24e-02	6.57e-04	3.5967331	-0.45705	1.08212205	2633_at
6446_at	6.44e-02	6.83e-04	-3.5844458	-0.49153	-0.95394004	6446_at
10370_at	6.67e-02	7.13e-04	3.570619	-0.53023	0.7201329	10370_at
83759_at	6.67e-02	7.22e-04	3.566514	-0.5417	0.53829143	83759_at
65986_at	6.67e-02	7.23e-04	-3.5659988	-0.54314	-0.42504024	65986_at
11343_at	6.85e-02	7.49e-04	3.5548321	-0.5743	0.91205005	11343_at
90_at	7.10e-02	7.82e-04	3.5410324	-0.61273	0.55524974	90_at
6239_at	7.14e-02	7.93e-04	-3.5366747	-0.62484	-0.37118061	6239_at
5930_at	7.14e-02	7.98e-04	3.5345818	-0.63066	0.30252643	5930_at
1390_at	7.19e-02	8.12e-04	-3.5288323	-0.64662	-0.41122549	1390_at
151050_at	7.19e-02	8.26e-04	3.5237035	-0.66085	0.53772298	151050_at
1175_at	7.19e-02	8.43e-04	3.5170142	-0.67939	0.38326073	1175_at
60370_at	7.19e-02	8.49e-04	-3.514535	-0.68625	-0.54284327	60370_at
11082_at	7.19e-02	8.54e-04	-3.5128528	-0.69091	-1.08668129	11082_at
91746_at	7.19e-02	8.68e-04	3.5076603	-0.70527	0.49024262	91746_at
5696_at	7.19e-02	8.69e-04	3.5073559	-0.70611	1.30189886	5696_at
9474_at	7.19e-02	8.69e-04	3.5072263	-0.70647	0.34218674	9474_at
55589_at	7.19e-02	8.69e-04	3.5071347	-0.70672	0.256087	55589_at
64135_at	7.19e-02	8.73e-04	3.5055903	-0.71099	1.04085723	64135_at
25776_at	7.19e-02	8.74e-04	3.5052589	-0.71191	0.35652774	25776_at
6016_at	7.19e-02	8.83e-04	3.502066	-0.72073	0.72242547	6016_at
23119_at	7.19e-02	8.84e-04	-3.5017338	-0.72164	-0.24948038	23119_at
58472_at	7.19e-02	8.88e-04	3.5003214	-0.72554	0.49339417	58472_at
5728_at	7.21e-02	8.99e-04	3.4964598	-0.7362	0.50294939	5728_at
5917_at	7.21e-02	9.04e-04	3.4946223	-0.74127	0.56293973	5917_at
84560_at	7.21e-02	9.09e-04	-3.4928088	-0.74627	-0.9371064	84560_at
4247_at	7.21e-02	9.14e-04	3.4910357	-0.75116	0.38597065	4247_at
3301_at	7.23e-02	9.22e-04	3.4881688	-0.75906	0.52533133	3301_at
6117_at	7.23e-02	9.29e-04	3.485853	-0.76544	0.50749318	6117_at
161_at	7.32e-02	9.56e-04	3.4763079	-0.7917	0.3187905	161_at
8880_at	7.32e-02	9.57e-04	3.476077	-0.79233	0.4536726	8880_at
9126_at	7.32e-02	9.58e-04	3.4757706	-0.79318	0.32706985	9126_at
84898_at	7.51e-02	9.91e-04	3.4649756	-0.82282	0.40826692	84898_at
3484_at	7.51e-02	1.00e-03	-3.46205	-0.83084	-0.3838091	3484_at
26034_at	7.51e-02	1.00e-03	-3.4615064	-0.83233	-0.49850466	26034_at
8480_at	7.60e-02	1.02e-03	3.4554324	-0.84897	0.4306056	8480_at
3588_at	7.65e-02	1.04e-03	3.4497065	-0.86464	0.62526472	3588_at
7431_at	7.65e-02	1.04e-03	3.4496758	-0.86473	1.6648047	7431_at
5412_at	7.75e-02	1.06e-03	-3.4428805	-0.8833	-0.40928606	5412_at
7289_at	7.75e-02	1.07e-03	3.4405566	-0.88965	0.39358867	7289_at
7374_at	7.75e-02	1.07e-03	-3.4392225	-0.89329	-0.39299697	7374_at
8645_at	7.90e-02	1.10e-03	-3.4302481	-0.91777	-0.93007392	8645_at
51621_at	7.90e-02	1.11e-03	-3.4291482	-0.92077	-0.45954184	51621_at
23041_at	7.90e-02	1.13e-03	-3.4217455	-0.94092	-0.25135596	23041_at
10960_at	7.90e-02	1.13e-03	3.4210772	-0.94274	0.4338797	10960_at
23286_at	7.90e-02	1.14e-03	3.4200556	-0.94552	0.54361573	23286_at
24148_at	7.90e-02	1.14e-03	3.4195453	-0.94691	0.33171074	24148_at
54925_at	7.90e-02	1.14e-03	-3.418607	-0.94946	-0.27685363	54925_at
23503_at	7.90e-02	1.14e-03	3.4179686	-0.9512	0.33218734	23503_at
10138_at	7.92e-02	1.15e-03	-3.4153849	-0.95822	-0.37523986	10138_at
7704_at	8.00e-02	1.17e-03	-3.4101745	-0.97237	-1.78609555	7704_at
1736_at	8.05e-02	1.19e-03	3.4055974	-0.98479	0.32946583	1736_at
1558_at	8.05e-02	1.20e-03	-3.4035733	-0.99028	-0.90018249	1558_at
3837_at	8.05e-02	1.20e-03	3.402418	-0.99342	0.43375664	3837_at
6532_at	8.33e-02	1.25e-03	-3.3895925	-1.02814	-0.3449806	6532_at
26097_at	8.44e-02	1.27e-03	3.3832582	-1.04526	0.34575296	26097_at
1495_at	8.52e-02	1.30e-03	3.3766035	-1.06322	0.33760092	1495_at
23252_at	8.52e-02	1.30e-03	-3.3753184	-1.06669	-0.42413409	23252_at
55000_at	8.52e-02	1.31e-03	3.3748663	-1.06791	0.43766806	55000_at
55332_at	8.59e-02	1.34e-03	3.3669156	-1.08933	0.59315435	55332_at
55127_at	8.59e-02	1.34e-03	3.3655893	-1.0929	0.3450509	55127_at
2908_at	8.59e-02	1.35e-03	3.3649241	-1.09469	0.44867451	2908_at
5378_at	8.59e-02	1.35e-03	3.3628575	-1.10025	0.49811818	5378_at
604_at	8.59e-02	1.36e-03	3.3619019	-1.10282	0.55672721	604_at
9761_at	8.59e-02	1.36e-03	3.3605578	-1.10644	0.44701575	9761_at
760_at	8.59e-02	1.37e-03	-3.3592998	-1.10982	-0.67441559	760_at
9863_at	8.59e-02	1.37e-03	-3.358361	-1.11234	-0.38740594	9863_at
80176_at	8.60e-02	1.39e-03	-3.3538212	-1.12454	-0.56583996	80176_at
9632_at	8.60e-02	1.39e-03	3.3536081	-1.12511	0.37860547	9632_at
3460_at	8.60e-02	1.40e-03	3.3527325	-1.12746	0.45206976	3460_at
10891_at	8.88e-02	1.45e-03	-3.3397655	-1.16223	-0.68870394	10891_at
23413_at	8.88e-02	1.46e-03	-3.3374254	-1.1685	-0.43475964	23413_at
8896_at	8.88e-02	1.47e-03	3.3357161	-1.17307	0.45694048	8896_at
80017_at	8.88e-02	1.47e-03	3.3355307	-1.17357	0.43672924	80017_at
23516_at	9.02e-02	1.50e-03	-3.3287656	-1.19166	-0.71090878	23516_at
5547_at	9.17e-02	1.53e-03	3.3215149	-1.21102	0.39639334	5547_at
10206_at	9.25e-02	1.56e-03	-3.3158759	-1.22605	-0.53062291	10206_at
79722_at	9.25e-02	1.56e-03	-3.3155618	-1.22689	-0.48128421	79722_at
10385_at	9.26e-02	1.58e-03	3.3126947	-1.23453	0.35690775	10385_at
51306_at	9.26e-02	1.58e-03	3.3118651	-1.23674	0.65061036	51306_at
9698_at	9.27e-02	1.59e-03	3.3100593	-1.24155	0.29710461	9698_at
55577_at	9.35e-02	1.61e-03	3.3054828	-1.25372	0.47385079	55577_at
64108_at	9.36e-02	1.62e-03	3.3036164	-1.25869	0.87371447	64108_at
8910_at	9.38e-02	1.63e-03	3.3010872	-1.26541	0.59602166	8910_at
8605_at	9.38e-02	1.64e-03	3.2993122	-1.27013	1.03325941	8605_at
3133_at	9.38e-02	1.65e-03	3.2980392	-1.27351	0.83389601	3133_at
4327_at	9.57e-02	1.69e-03	-3.2897224	-1.29557	-0.31460756	4327_at
1318_at	9.64e-02	1.72e-03	-3.2845729	-1.30922	-0.79471687	1318_at
26574_at	9.64e-02	1.72e-03	3.2844397	-1.30957	0.33188969	26574_at
29_at	9.72e-02	1.74e-03	-3.2790225	-1.32391	-0.86054294	29_at
5105_at	9.72e-02	1.76e-03	-3.2765823	-1.33036	-1.31803732	5105_at
9217_at	9.72e-02	1.76e-03	3.2755214	-1.33317	0.21905449	9217_at
11253_at	9.72e-02	1.77e-03	3.273941	-1.33734	0.32921088	11253_at
80212_at	9.72e-02	1.77e-03	3.2739215	-1.33739	0.35903733	80212_at
55686_at	9.84e-02	1.80e-03	-3.2684175	-1.35193	-0.58590606	55686_at
1124_at	9.93e-02	1.83e-03	-3.2634546	-1.36502	-0.5318359	1124_at
10979_at	9.93e-02	1.83e-03	-3.2622271	-1.36826	-0.40585095	10979_at
10577_at	9.95e-02	1.85e-03	3.2592396	-1.37613	0.45203111	10577_at
5000_at	9.95e-02	1.87e-03	3.2565434	-1.38323	0.30487498	5000_at
7049_at	9.95e-02	1.87e-03	-3.2556183	-1.38567	-0.91410886	7049_at
3437_at	9.95e-02	1.87e-03	3.2555743	-1.38578	0.89235511	3437_at
5832_at	1.00e-01	1.89e-03	3.2515312	-1.39642	0.67420825	5832_at
55578_at	1.00e-01	1.90e-03	3.2505914	-1.3989	0.29606748	55578_at
10171_at	1.01e-01	1.92e-03	-3.2476981	-1.4065	-0.32839553	10171_at
9920_at	1.03e-01	1.98e-03	-3.2358386	-1.43763	-0.76778378	9920_at
9961_at	1.03e-01	1.99e-03	3.2348663	-1.44018	0.66862086	9961_at
1595_at	1.03e-01	1.99e-03	-3.2346706	-1.44069	-0.84595513	1595_at
8864_at	1.04e-01	2.01e-03	-3.2306725	-1.45117	-0.45221294	8864_at
3074_at	1.04e-01	2.02e-03	3.2294045	-1.45449	0.85240484	3074_at
22864_at	1.04e-01	2.03e-03	-3.2275456	-1.45935	-0.64788783	22864_at
7637_at	1.04e-01	2.04e-03	3.226675	-1.46163	0.38641777	7637_at
10342_at	1.04e-01	2.05e-03	3.224552	-1.46718	0.31501989	10342_at
9315_at	1.04e-01	2.06e-03	3.2234493	-1.47007	0.77320844	9315_at
10162_at	1.05e-01	2.10e-03	3.2165637	-1.48806	0.54962129	10162_at
4830_at	1.05e-01	2.10e-03	3.2164404	-1.48838	0.59586072	4830_at
3134_at	1.05e-01	2.10e-03	3.2161518	-1.48913	1.1032682	3134_at
629_at	1.05e-01	2.12e-03	3.2138425	-1.49516	1.68460969	629_at
51317_at	1.06e-01	2.14e-03	3.2099017	-1.50544	0.37610291	51317_at
9966_at	1.07e-01	2.18e-03	3.2040605	-1.52066	0.47565925	9966_at
1503_at	1.07e-01	2.18e-03	-3.2038275	-1.52127	-0.70913114	1503_at
2139_at	1.07e-01	2.19e-03	-3.2029493	-1.52355	-0.60230055	2139_at
8603_at	1.07e-01	2.21e-03	3.1993107	-1.53302	0.42633517	8603_at
64219_at	1.07e-01	2.21e-03	3.1992013	-1.53331	0.49794804	64219_at
80823_at	1.07e-01	2.21e-03	3.1991631	-1.53341	0.53310951	80823_at
9798_at	1.08e-01	2.24e-03	3.1949947	-1.54424	0.29939246	9798_at
57187_at	1.08e-01	2.24e-03	3.1942273	-1.54624	0.3177811	57187_at
8436_at	1.08e-01	2.27e-03	-3.190775	-1.5552	-0.4545525	8436_at
10821_at	1.09e-01	2.29e-03	-3.1874359	-1.56387	-0.54335086	10821_at
27328_at	1.09e-01	2.30e-03	-3.1861723	-1.56715	-0.23005838	27328_at
55303_at	1.09e-01	2.33e-03	3.1815149	-1.57922	0.75077541	55303_at
9331_at	1.09e-01	2.33e-03	-3.1811708	-1.58012	-0.30992954	9331_at
10352_at	1.09e-01	2.34e-03	3.180205	-1.58262	0.46327061	10352_at
9111_at	1.10e-01	2.35e-03	3.1781588	-1.58792	1.01887567	9111_at
6558_at	1.12e-01	2.42e-03	-3.1690045	-1.6116	-0.39937029	6558_at
4013_at	1.13e-01	2.44e-03	3.1656202	-1.62034	0.48560819	4013_at
3597_at	1.13e-01	2.45e-03	3.163951	-1.62465	0.50088185	3597_at
80778_at	1.13e-01	2.46e-03	-3.1630195	-1.62706	-0.33385189	80778_at
3653_at	1.13e-01	2.47e-03	-3.161944	-1.62983	-0.34167633	3653_at
5510_at	1.13e-01	2.47e-03	3.1612048	-1.63174	0.25285449	5510_at
221037_at	1.13e-01	2.50e-03	3.1574226	-1.64149	0.41071003	221037_at
4234_at	1.13e-01	2.51e-03	-3.1565891	-1.64364	-0.60649413	4234_at
399665_at	1.14e-01	2.53e-03	-3.1534213	-1.6518	-0.43784645	399665_at
56892_at	1.15e-01	2.56e-03	3.149127	-1.66285	1.20792317	56892_at
8672_at	1.15e-01	2.58e-03	3.1467557	-1.66895	0.41683114	8672_at
100288413_at	1.17e-01	2.64e-03	-3.1386266	-1.68984	-0.47475529	100288413_at
80350_at	1.17e-01	2.64e-03	-3.1383168	-1.69064	-0.49609729	80350_at
55164_at	1.17e-01	2.65e-03	3.1373623	-1.69309	0.24817202	55164_at
64374_at	1.17e-01	2.66e-03	3.1365998	-1.69504	0.37090969	64374_at
10778_at	1.18e-01	2.69e-03	3.132148	-1.70646	0.44357629	10778_at
8829_at	1.19e-01	2.71e-03	3.1298288	-1.7124	0.94340843	8829_at
5507_at	1.19e-01	2.72e-03	3.1283868	-1.7161	0.66281892	5507_at
79070_at	1.21e-01	2.79e-03	3.1200955	-1.73731	0.76181789	79070_at
23586_at	1.22e-01	2.84e-03	3.113904	-1.75313	0.72450468	23586_at
9580_at	1.22e-01	2.84e-03	-3.1134351	-1.75433	-0.31155593	9580_at
5587_at	1.22e-01	2.85e-03	3.1126335	-1.75637	0.60246476	5587_at
53343_at	1.23e-01	2.87e-03	3.1107535	-1.76117	0.39820969	53343_at
3434_at	1.23e-01	2.89e-03	3.1076428	-1.7691	1.38326878	3434_at
57498_at	1.23e-01	2.90e-03	3.1065104	-1.77199	0.34210343	57498_at
7518_at	1.23e-01	2.91e-03	3.1053413	-1.77497	0.25978092	7518_at
1022_at	1.23e-01	2.92e-03	3.1041829	-1.77792	0.61418888	1022_at
7978_at	1.24e-01	2.94e-03	3.1017967	-1.78399	0.44699646	7978_at
642_at	1.24e-01	2.96e-03	3.1000713	-1.78839	0.3373961	642_at
9695_at	1.24e-01	2.98e-03	-3.097622	-1.79462	-0.35886839	9695_at
51076_at	1.24e-01	2.99e-03	-3.0957549	-1.79937	-0.43786857	51076_at
3638_at	1.24e-01	3.02e-03	-3.0931609	-1.80596	-0.54043663	3638_at
54816_at	1.24e-01	3.02e-03	3.0928036	-1.80687	0.31174671	54816_at
23014_at	1.24e-01	3.04e-03	-3.0908512	-1.81182	-0.8194088	23014_at
22996_at	1.24e-01	3.04e-03	3.0899018	-1.81424	1.30259787	22996_at
7106_at	1.24e-01	3.05e-03	3.0895489	-1.81513	0.46111261	7106_at
9467_at	1.24e-01	3.05e-03	-3.0892516	-1.81589	-0.52897413	9467_at
79022_at	1.24e-01	3.06e-03	3.0881394	-1.81871	0.29790218	79022_at
801_at	1.24e-01	3.07e-03	-3.0874075	-1.82057	-0.48686192	801_at
5903_at	1.25e-01	3.11e-03	-3.0829434	-1.83189	-0.40272699	5903_at
5698_at	1.27e-01	3.16e-03	3.0769987	-1.84695	1.48154582	5698_at
4790_at	1.29e-01	3.22e-03	3.07052	-1.86334	0.4399096	4790_at
9925_at	1.32e-01	3.31e-03	3.0612918	-1.88664	0.30108858	9925_at
10437_at	1.32e-01	3.31e-03	3.0608856	-1.88766	0.77390888	10437_at
55656_at	1.33e-01	3.35e-03	3.0572276	-1.89688	0.50145015	55656_at
3423_at	1.33e-01	3.36e-03	-3.0556078	-1.90096	-0.17440729	3423_at
3772_at	1.33e-01	3.37e-03	3.054321	-1.90421	0.6520744	3772_at
4665_at	1.33e-01	3.38e-03	-3.0540981	-1.90477	-0.30652048	4665_at
7783_at	1.33e-01	3.38e-03	-3.0531975	-1.90703	-0.50712373	7783_at
23030_at	1.33e-01	3.39e-03	-3.0521364	-1.90971	-0.26492391	23030_at
8241_at	1.33e-01	3.42e-03	3.0494756	-1.9164	0.34822057	8241_at
81575_at	1.33e-01	3.43e-03	-3.0484236	-1.91905	-0.60537188	81575_at
23636_at	1.33e-01	3.44e-03	3.0477976	-1.92062	0.37747089	23636_at
5886_at	1.33e-01	3.45e-03	-3.046826	-1.92306	-0.31683139	5886_at
55432_at	1.33e-01	3.45e-03	-3.0463277	-1.92432	-0.32853143	55432_at
2982_at	1.34e-01	3.49e-03	3.0424447	-1.93407	0.66612836	2982_at
92552_at	1.35e-01	3.52e-03	-3.0393448	-1.94185	-0.28104359	92552_at
1365_at	1.35e-01	3.55e-03	3.036133	-1.94991	1.03647384	1365_at
80006_at	1.37e-01	3.65e-03	-3.0269047	-1.97302	-0.43233445	80006_at
25777_at	1.37e-01	3.65e-03	-3.0267751	-1.97335	-0.39123828	25777_at
3376_at	1.37e-01	3.65e-03	-3.0266942	-1.97355	-0.49819535	3376_at
4848_at	1.37e-01	3.66e-03	3.0262133	-1.97475	0.30360588	4848_at
55224_at	1.37e-01	3.66e-03	-3.0254983	-1.97654	-0.88811545	55224_at
2289_at	1.37e-01	3.69e-03	-3.0234988	-1.98154	-1.83087588	2289_at
57599_at	1.37e-01	3.69e-03	3.0233499	-1.98191	0.2185439	57599_at
23423_at	1.37e-01	3.70e-03	3.0223512	-1.98441	0.54246437	23423_at
10160_at	1.39e-01	3.76e-03	3.0163696	-1.99935	0.42779725	10160_at
710_at	1.39e-01	3.77e-03	3.015976	-2.00033	1.51709	710_at
5279_at	1.39e-01	3.78e-03	3.0144201	-2.00421	0.30922336	5279_at
307_at	1.39e-01	3.78e-03	3.0144195	-2.00422	0.62284629	307_at
